animeTitle	Thermae Romae Specials
animeType	Special
animeNumEpisode	2
releaseDate	2012-04-20 00:00:00
endDate	
animeNumMembers	
animeScore	6.86
animeUsers	1411
animeRank	
animePopularity	8244
animeDescription	"Bonus episodes included with the BD/DVD.

The first episode consists of ""Miwaku no Farosu"" (Alluring Pharos) and ""Sanshimai OL Terumae Satsujin Jiken"" (The Three Sisters of Thermae Romae Murder Case).

The second episode consists of ""Subesube ni Naritai"" (I Want to Have Smooth Skin) and ""Hitasura Suberitai"" (I Just Want to Slip). "
animeRelated	['Thermae Romae']
animeCharacters	['Modestus, Lucius']
animeVoices	[]
animeStaff	[['Tani, Azuma', 'Director'], ['Chatmonchy', 'Theme Song Performance']]
