animeTitle	Papa to Kiss in the Dark
animeType	OVA
animeNumEpisode	2
releaseDate	2005-11-23 00:00:00
endDate	2005-12-21 00:00:00
animeNumMembers	
animeScore	5.95
animeUsers	27219
animeRank	
animePopularity	2601
animeDescription	"Munakata Mira is in love with his father, the famous Hollywood actor Munakata Kyousuke. Unknown to the public, both of them are father and son as well as lovers. When Mira turns 15 and enters high school, he faces trouble with his childhood friend falling in love with him. Also, finding out he is adopted only distresses him further. Then there's the problem of Kyousuke probably marrying a famous actress, whose son seems to have an interest in Mira. 

(Source: ANN) "
animeRelated	['Papa to Kiss in the Dark']
animeCharacters	['Munakata, Kyousuke', 'Munakata, Mira', 'Hino, Kazuki', 'Utsunomiya, Takayuki', 'Utsunomiya, Mitsuki', 'Hojou, Sakuya', 'Sakurai, Shun']
animeVoices	['Miki, Shinichiro', 'Midorikawa, Hikaru', 'Chiba, Susumu', 'Koyasu, Takehito', 'Katsuki, Masako', 'Terashima, Takuma']
animeStaff	[['Miki, Shinichiro', 'Theme Song Performance'], ['Terashima, Takuma', 'Theme Song Performance'], ['Suzuki, Papaya', 'Editing'], ['Oka, Mariko', 'Character Design']]
