animeTitle	Tsuma Shibori
animeType	OVA
animeNumEpisode	2
releaseDate	2008-05-25 00:00:00
endDate	2008-09-25 00:00:00
animeNumMembers	8290
animeScore	7.08
animeUsers	3288
animeRank	
animePopularity	5731
animeDescription	"Kousuke lives a boring life without women.... One day, his father introduces a woman, Madoka, and he is forced to live with her. Madoka's older sister Sakura starts to live with them to keep watch on them and his cohabitation with two beautiful sisters starts....a world filled with wives in need of some attention awaits him.

(Source: saishuu.com)"
animeRelated	['Tsuma Shibori']
animeCharacters	['Aoi, Sakura', 'Kototsuki, Madoka', 'Shinba, Kousuke', 'Takeuchi, Himeka', 'Tsubaki, Yukie']
animeVoices	['Tanaka, Ryouko', 'Sakurai, Harumi', 'Honma, Yukari', 'Asai, Harumi']
animeStaff	[['AliceSoft', 'Original Creator'], ['Kuroda, Akimi', 'Original Character Design']]
