animeTitle	Sakura to Sakurin
animeType	OVA
animeNumEpisode	1
releaseDate	2012-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18149
animeDescription	Sakura is a 3rd grader who meets a cherry blossom (sakura) spirit named Sakurin when she visited a cherry blossom park. She shows her the history of the park and how the mini forest came to be as it was humans who caused deforestation but also humans who realized their mistake and fixed situation.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
