animeTitle	Wakaba*Girl: Onsen Tsukaritai
animeType	Special
animeNumEpisode	1
releaseDate	2015-10-23 00:00:00
endDate	
animeNumMembers	8029
animeScore	6.92
animeUsers	4460
animeRank	4124
animePopularity	5807
animeDescription	Extra episode bundled with the second Blu-ray and DVD volume of Wakaba*Girl.
animeRelated	['Wakaba*Girl']
animeCharacters	['Kohashi, Wakaba', 'Tokita, Moeko', 'Kurokawa, Mao', 'Mashiba, Nao', 'Kohashi, Otoha', 'Kohashi, Yuzuha']
animeVoices	['Ozawa, Ari', 'Izawa, Mikako', 'Ichimichi, Mao', 'Murakawa, Rie', 'Asakura, Azumi', 'Kimura, Juri']
animeStaff	[['Watanabe, Masaharu', 'Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director'], ['Hanada, Jukki', 'Script, Series Composition'], ['Ray', 'Theme Song Performance']]
