animeTitle	b'Rosario to Vampire'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.79
animeUsers	346017
animeRank	
animePopularity	
animeDescription	"b""Youkai Academy is a seemingly normal boarding school, except that its pupils are monsters learning to coexist with humans. All students attend in human form and take normal academic subjects, such as literature, gym, foreign language, and mathematics. However, there is one golden rule at Youkai Academy\xe2\x80\x94all humans found on school grounds are to be executed immediately!\n\nTsukune Aono is an average teenager who is unable to get into any high school because of his bad grades. His parents inadvertently enroll him into Youkai Academy as a last-ditch effort to secure his education. As Tsukune unknowingly enters this new world, he has a run-in with the most attractive girl on campus, Moka Akashiya. Deciding to stay in the perilous realm in order to further his relationship with Moka, he does not realize that beneath her beauty lies a menacing monster\xe2\x80\x94a vampire.\n\nRosario to Vampire is a supernatural school comedy that explores Tsukune's romantic exploits, experiences, and misadventures with a bevy of beautiful but dangerous creatures.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Rosario to Vampire', b'Rosario to Vampire Capu2']
animeCharacters	[b'Shirayuki, Mizore', b'Akashiya, Moka', b'Kurono, Kurumu', b'Aono, Tsukune', b'Sendou, Yukari', b'Toujou, Ruby', b'Morioka, Ginei', b'Bus Driver', b'Nekonome, Shizuka', b'Koumori, Nazo']
animeVoices	[b'\nKugimiya, Rie\nJapanese\n', b'\nMizuki, Nana\nJapanese\n', b'\nFukuen, Misato\nJapanese\n', b'\nKishio, Daisuke\nJapanese\n', b'\nKoyama, Kimiko\nJapanese\n', b'\nChiba, Saeko\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nInoue, Norihiro\nJapanese\n', b'\nInoue, Kikuko\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nInagaki, Takayuki\n\nDirector\n\n', b'\nTakadera, Takeshi\n\nSound Director\n\n', b'\nItagaki, Shin\n\nEpisode Director, Storyboard, Principle Drawing\n\n', b'\nShiraishi, Michita\n\nEpisode Director\n\n']
