animeTitle	Dase! Ikevo Gakuen
animeType	ONA
animeNumEpisode	4
releaseDate	2019-01-08 00:00:00
endDate	2019-08-21 00:00:00
animeNumMembers	126
animeScore	
animeUsers	
animeRank	15385
animePopularity	17383
animeDescription	Dase! Ikevo Gakuen is an original anime produced by the ESP College of Entertainment Fukuoka Department of Voice Acting, in collaboration with Takashi Taniguchi. Set in Ikevo Academy, we follow the comedic love story of a young man aspiring to become a voice actor. In the spirit of promoting voice acting education, members of the general public auditioned to voice the characters in the show.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
