animeTitle	Seibu Tetsudou Ekiin Tako-chan
animeType	ONA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15423
animeDescription	"Tako-chan joins Seibu Railways in 2011, and gets assigned to Tanashi Station. He finally became a railway employee like he always yearned for, but he constantly keeps making blunders, and so all his work seems to be useless. Will the day come when he can stand on his own?

(Source: Official Site)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
