animeTitle	Doraemon Movie 28: Nobita to Midori no Kyojin Den
animeType	Movie
animeNumEpisode	1
releaseDate	2008-03-08 00:00:00
endDate	
animeNumMembers	
animeScore	7.39
animeUsers	4857
animeRank	
animePopularity	5957
animeDescription	One day Nobita found a small sapling behind the hill but his mom won't allow him to plant it in the backyard. Using Doraemon's special tool, they made the tree alive so it could move around freely. Nobita name it Ki-bō and the two became like brothers. From there, a new adventure awaits...
animeRelated	['Doraemon (2005)']
animeCharacters	['Doraemon', 'Nobi, Nobita', 'Minamoto, Shizuka', 'Honekawa, Suneo', 'Gouda, Takeshi', 'Kibo', 'Nobi, Nobisuke', 'Young Princess']
animeVoices	['Mizuta, Wasabi', 'Oohara, Megumi', 'Kakazu, Yumi', 'Seki, Tomokazu', 'Kimura, Subaru', 'Horikita, Maki']
animeStaff	[['Watanabe, Ayumu', 'Director, Storyboard'], ['Kusuba, Kouzou', 'Director'], ['Miyashita, Shinpei', 'Storyboard, Assistant Director'], ['mao', 'Theme Song Performance']]
