animeTitle	b'Haikyuu!!: Tokushuu! Haru-kou Volley ni Kaketa Seishun'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.53
animeUsers	7420
animeRank	
animePopularity	
animeDescription	b'The OVA episode revisits the primary matches from the spring tournament and features interviews with players.\n\n(Source: MAL News)'
animeRelated	[b'Haikyuu!!', b'Haikyuu!! Second Season', b'Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou']
animeCharacters	[b'Hinata, Shouyou', b'Kageyama, Tobio', b'Oikawa, Tooru', b'Kuroo, Tetsurou', b'Sawamura, Daichi', b'Koganegawa, Kanji', b'Narrator']
animeVoices	[b'\nMurase, Ayumu\nJapanese\n', b'\nIshikawa, Kaito\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nHino, Satoshi\nJapanese\n', b'\nShouji, Masayuki\nJapanese\n', b'\nOotsuka, Houchuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFurudate, Haruichi\n\nOriginal Creator\n\n']
