animeTitle	b'Shimanchu MiRiKa'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.44
animeUsers	158
animeRank	
animePopularity	
animeDescription	"b""An original anime project promoting the local Okinawa agricultural and industrial businesses and sponsored by the Okinawa Prefecture.\n\nSet in Japan's Okinawa Prefecture the story is about three girls who are into music, dance, Okinawan stage productions and karate. \n\n(Source: AniDB)"""
animeRelated	[]
animeCharacters	[b'Ruri', b'MiRiKa', b'Yuki', b'Asato, Kei']
animeVoices	[b'\nShimoji, Shino\nJapanese\n', b'\nHidaka, Noriko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOoshita, Kyuuma\n\nDirector, Animation Director, Character Design\n\n', b'\nTsuruoka, Youta\n\nSound Director\n\n', b'\nKatou, Hiroshi\n\nArt Director\n\n', b'\nSekiya, Yoshihiro\n\nDirector of Photography\n\n']
