animeTitle	Higashi no Eden Movie II: Paradise Lost
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.6
animeUsers	74856
animeRank	
animePopularity	1300
animeDescription	"As one of the 12 Seleção that needs to save the country in order to win a game, Akira Takizawa decided to become the ""King of Japan."" With that in mind, after his return from the U.S.A., the remaining Seleção will also need to follow up on their own plans as they strive to outdo each other.

Saki Morimi and the other members of the ""Eden of the East"" are under suspicion of being terrorists, but they still do everything they can to help Takizawa reach his goal and unravel the secrets of his past, as the last fight between the Seleção begins.

[Written by MAL Rewrite]
"
animeRelated	['Shousetsu Higashi no Eden Gekijouban', 'Higashi no Eden Movie I: The King of Eden']
animeCharacters	['Takizawa, Akira', 'Morimi, Saki', 'Mameshiba', 'Katsuhara, Mikuru', 'Juiz', 'Itazu, Yutaka', 'Hirasawa, Kazuomi', 'Ohsugi, Satoshi', 'O-nee', 'Mr. Outside']
animeVoices	['Kimura, Ryouhei', 'Hayami, Saori', 'Saitou, Ayaka', 'Tamagawa, Sakiko', 'Hiyama, Nobuyuki', 'Kawahara, Motoyuki', 'Eguchi, Takuya', 'Saito, Kimiko', 'Arikawa, Hiroshi']
animeStaff	[['Ishii, Tomohiko', 'Producer'], ['Kimura, Makoto', 'Assistant Producer'], ['Kamiyama, Kenji', 'Director, Storyboard, Screenplay, Original Creator'], ['Wakabayashi, Kazuhiro', 'Sound Director']]
