animeTitle	Sugar Sugar Rune
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	7.46
animeUsers	13835
animeRank	
animePopularity	3061
animeDescription	"Chocolat Meilleure and Vanilla Mieux are two witches who are pitched in a contest to see who will become the new Queen of the Witch World. They must travel to the Human World and collect the hearts of humans. Whoever collects the most ""human hearts"" wins. Even though they're rivals, the two are still best friends. Join them on this adventure!"
animeRelated	['Sugar Sugar Rune']
animeCharacters	['Meilleure, Chocolat', 'Tempête de Neige, Pierre', 'Mieux, Vanilla', 'Saule', 'Rockin, Robin', 'Duke', 'Houx', 'Yurika', 'Sugiyama, Taiji', 'Joe']
animeVoices	['Matsumoto, Marika', 'Konishi, Ryousei', 'Ihata, Juri', 'Iwahashi, Naoya', 'Tsuda, Kenjirou', 'Yasoda, Yuuichi', 'Kimura, Ryouhei', 'Higuchi, Chieko', 'Kokuryu, Sachi', 'Kiuchi, Hidenobu']
animeStaff	[['Ohata, Koichi', 'Producer, Script'], ['Kobayashi, Noriko', 'Producer'], ['Matsushita, Yukihiro', 'Director, Episode Director, Storyboard'], ['Hiramitsu, Takuya', 'Sound Director']]
