animeTitle	Summer Ghost
animeType	Movie
animeNumEpisode	1
releaseDate	2021-11-12 00:00:00
endDate	
animeNumMembers	17372
animeScore	
animeUsers	
animeRank	
animePopularity	4250
animeDescription	"Have you heard of Summer Ghosts?"" Tomoya, Aoi, and Ryo are high school students who met through the Internet. The urban legend of the Summer Ghost is that it is a ghost of a young woman who appears when fireworks are lit. Tomoya is unable to step out into the life he wants. Aoi is unable to find her place in the world. Ryo's bright future is suddenly closed to him. Each of them has their own reasons for meeting the Summer Ghost. On a summer night when life and death intersect, where will each of their thoughts go to?

(Source: Crunchyroll News)"
animeRelated	['Ichiban Chikakute Tooi Hoshi']
animeCharacters	['Harukawa, Aoi', 'Kobayashi, Ryou', 'Sugisaki, Tomoya', 'Satou, Ayane']
animeVoices	['Shimabukuro, Miyuri', 'Shimazaki, Nobunaga', 'Kobayashi, Chiaki', 'Kawaei, Rina']
animeStaff	[['loundraw', 'Director, Original Character Design, Original Creator'], ['Otsuichi', 'Screenplay'], ['Kosemura, Akira', 'Music']]
