animeTitle	Nijiiro☆Prism Girl
animeType	OVA
animeNumEpisode	4
releaseDate	2013-08-03 00:00:00
endDate	2013-11-30 00:00:00
animeNumMembers	
animeScore	6.14
animeUsers	1404
animeRank	
animePopularity	8246
animeDescription	"The beautiful and tall Kohinata Nijika, a 6th grade kid who doesn't look her age and daughter of an office chief of a TV station, avoids the entertainment world since her mom, a legendary actress, died from a sickness. Hiding the truth about her family, Nijika keeps another secret. The fact that she's living with the prince-like actor, Ichinose Touya, may create a ruckus if it is discovered.

Running for another errand, Nijika, together with her pet Kapitama-kun, coincidentally run into a drama set that's lacking an actress due to food poisoning. She volunteers for the role and..."
animeRelated	['Nijiiro☆Prism Girl']
animeCharacters	['Ichinose, Touya', 'Kohinata, Nijika']
animeVoices	['Oosaka, Ryouta', 'Nishiguchi, Arisa']
animeStaff	[['Nakahara, An', 'Original Creator, Original Character Design'], ['Miyake, Masakazu', 'Art Director'], ['Hagiwara, Shouko', 'Character Design']]
