animeTitle	b'Upotte!!'
animeType	b'ONA'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	6.49
animeUsers	27886
animeRank	
animePopularity	
animeDescription	"b""Kiss kiss, bang bang! The arms race takes on a startling new development when the arms come with heads, legs and very feminine bodies attached!\n\nYes, at Seishou Academy every girl is literally a lethal weapon, and they're all gunning for the top shot at getting their own personal serviceman! Needless to say, it's going to be difficult for newly recruited human instructor Genkoku to adjust to working with a living arsenal of high caliber cuties with tricky names like FNC (Funko) M 16A4 (Ichiroku) L85A1 (Eru) and SG 550 (Shigu). Especially since many have hair triggers and there's no bulletproof vest that can stop a really determined coed! He'll have to rewrite the operator's manual on student/teacher relationships, and pray that his job description won't include having to field strip and reassemble one of his cadets in the dark. But unfortunately (for him) FNC's already thinking about becoming HIS personal weapon, and she usually gets what she aims for!\n\n(Source: Sentai Filmworks)"""
animeRelated	[b'Upotte!!', b'Upotte!!: Miatte Waratte']
animeCharacters	[b'FNC', b'L85A1', b'SG550', b'M16A4', b'Galil AR', b'SAKO RK95', b'G3A3', b'M14', b'FAL L1A1', b'AUGA1']
animeVoices	[b'\nNomizu, Iori\nJapanese\n', b'\nMisato\nJapanese\n', b'\nSadohara, Kaori\nJapanese\n', b'\nTogashi, Misuzu\nJapanese\n', b'\nHonda, Mariko\nJapanese\n', b'\nYamanaka, Madoka\nJapanese\n', b'\nKosuge, Mami\nJapanese\n', b'\nZougou, Saeko\nJapanese\n', b'\nMina\nJapanese\n', b'\nFuruya, Shizuka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKato, Takao\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nTakahashi, Hideya\n\nEpisode Director, Storyboard\n\n', b'\nArakawa, Naruhisa\n\nScript\n\n']
