animeTitle	Maken-Ki! Two Specials
animeType	Special
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	8914
animeRank	
animePopularity	3866
animeDescription	Blu-ray/DVD specials of Maken-Ki! Two.
animeRelated	['Maken-Ki! Two']
animeCharacters	['Nijou, Aki', 'Himegami, Kodama', 'Amaya, Haruko', 'Kushiya, Inaho', 'Satou, Kimi']
animeVoices	['Harada, Hitomi', 'Yahagi, Sayuri', 'Shitaya, Noriko', 'Nomizu, Iori']
animeStaff	[['Kaneko, Hiraku', 'Director'], ['Takeda, Hiromitsu', 'Original Creator'], ['Takami, Akio', 'Character Design']]
