animeTitle	Rewrite 2nd Season
animeType	TV
animeNumEpisode	11
releaseDate	
endDate	
animeNumMembers	
animeScore	7.22
animeUsers	43606
animeRank	
animePopularity	1630
animeDescription	The second season of the Rewrite series which adapts Moon and Terra routes.
animeRelated	['Rewrite']
animeCharacters	['Tennouji, Kotarou', 'Kagari', 'Nakatsu, Shizuru', 'Kanbe, Kotori', 'Konohana, Lucia', 'Senri, Akane', 'Ootori, Chihaya', 'Ootori, Sakuya', 'Yoshino, Haruhiko', 'Esaka, Sougen']
animeVoices	['Morita, Masakazu', 'Hanazawa, Kana', 'Suzuki, Keiko', 'Saitou, Chiwa', 'Asaki, Risa', 'Kitamura, Eri', 'Shinomiya, Saya', 'Konishi, Katsuyuki', 'Yanagita, Junichi', 'Touchi, Hiroki']
animeStaff	[['Tanaka, Motoki', 'Director, Series Composition'], ['Hamano, Takatoshi', 'Sound Director'], ['Majima, Takahiro', 'Episode Director'], ['Aoshima, Takashi', 'Script']]
