animeTitle	ReLIFE: Kanketsu-hen Specials
animeType	Special
animeNumEpisode	2
releaseDate	2018-03-21 00:00:00
endDate	
animeNumMembers	18834
animeScore	6.84
animeUsers	7060
animeRank	4462
animePopularity	4117
animeDescription	Two specials of ReLIFE: Kanketsu-hen released on mobile and later included on Blu-ray/DVD volume.
animeRelated	['ReLIFE: Kanketsu-hen']
animeCharacters	['Kaizaki, Arata']
animeVoices	[]
animeStaff	[]
