animeTitle	Love Bitch: Yasashii Onna
animeType	OVA
animeNumEpisode	1
releaseDate	2011-12-16 00:00:00
endDate	
animeNumMembers	5260
animeScore	6.2
animeUsers	2130
animeRank	
animePopularity	6861
animeDescription	Based on the manga by LINDA. 
animeRelated	['Love♥Bitch']
animeCharacters	['Chisato']
animeVoices	['Ookubo, Aiko']
animeStaff	[['Raika, Ken', 'Director'], ['Ishige, Rui', 'Episode Director, Storyboard, 2nd Key Animation, Character Design, Animation Director'], ['LINDA', 'Original Creator']]
