animeTitle	Caramel Honey
animeType	ONA
animeNumEpisode	30
releaseDate	2018-06-08 00:00:00
endDate	2018-08-24 00:00:00
animeNumMembers	11414
animeScore	6.79
animeUsers	3202
animeRank	4667
animePopularity	5058
animeDescription	"Ayato transfers into a new school hoping for a fresh start.
Sadly for him, the school turns up to be filled with delinquents, and the most feared of them all has his eye set on him.
And it doesn't help, that whenever Ayato accidentally takes off his glasses, everyone around him suddenly becomes completely smitten by him.

(Source: MU)
"
animeRelated	['Caramel Honey']
animeCharacters	['Horiguchi, Yuusei', 'Nakasone, Ayato', 'Horiguchi, Masato', 'Fumisawa, Mamoru']
animeVoices	[]
animeStaff	[['Takuhei', 'Original Creator'], ['Chaen, Ichirou', 'Editing']]
