animeTitle	b'Levius'
animeType	b'ONA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.2
animeUsers	7776
animeRank	
animePopularity	
animeDescription	"b""As society rises from the ashes of war, cybernetically augmented arena fighters battle for fame and fortune... or die trying.\n\nIt's the 19th century, and the world has entered the Era of Rebirth, recovering from the devastating flames of war. The sport of mechanical martial arts has galvanized the nations. Cybernetically augmented fighters turn their blood into steam and their bodies into brutal fighting\xe2\x80\x94and killing\xe2\x80\x94machines.\n\nYoung Levius is one of those arena battlers, hell-bent on winning in order to simply survive. \n\n(Source: VIZ Media)"""
animeRelated	[b'Levius']
animeCharacters	[b'Cromwell, Levius', b'Garnet, Natalia', b'Dr. Clown', b'Cromwell, Zacks', b'Rangdon, A.J.', b'Weinberg, Bill', b'Eden, Malcolm', b'Stratus, Hugo', b'Wayneberg, Bill', b'Cromwell, Zack']
animeVoices	[b'\nShimazaki, Nobunaga\nJapanese\n', b'\nSakura, Ayane\nJapanese\n', b'\nMiyano, Mamoru\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nHayami, Saori\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nOotsuka, Houchuu\nJapanese\n', b'\nOno, Daisuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSeshita, Hiroyuki\n\nDirector\n\n', b'\nIde, Keisuke\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nSeko, Hiroshi\n\nScript, Series Composition\n\n']
