animeTitle	b'Mewkledreamy Mix!'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	6.76
animeUsers	123
animeRank	
animePopularity	
animeDescription	b'Second season of Mewkledreamy.'
animeRelated	[b'Mewkledreamy']
animeCharacters	[b'Hinata, Yume', b'Tsukishima, Maira', b'Yuni', b'Minamikawa, Asahi', b'Peko', b'Mew', b'Anzai, Tokiwa', b'Imai, Kotoko', b'Suu', b'Hagi']
animeVoices	[b'\nKobayashi, Yuusuke\nJapanese\n']
animeStaff	[]
