animeTitle	Gamba: Gamba to Nakama-tachi
animeType	Movie
animeNumEpisode	1
releaseDate	2015-10-10 00:00:00
endDate	
animeNumMembers	
animeScore	5.82
animeUsers	164
animeRank	
animePopularity	12528
animeDescription	"Gamba, a town mouse with a brave, adventurous spirit decides to go on an adventure to discover the ocean. On his way, he meets a troubled child mouse, Chuta. He says his family and other mice have been killed by a clan of weasels living on a nearby island. Chuta asks a group of ship mice, the bravest of their kind, for help, but when they find out that the villain behind this event is the terrifying weasel-leader Noroi, they give up on helping Chuta. However seeing the hopeless Chuta, Gamba promises him to save the island, his family and the other mice. Gamba and his friends team up to go on their adventure to defeat the evil Noroi and his clan.

(Source: Varèse Sarabande)"
animeRelated	['Gamba no Bouken']
animeCharacters	['Gamba', 'Ikasama', 'Yoisho', 'Gakusha ', 'Chuuta', 'Bobo', 'Shioji', 'Tsuburi', 'Manpuku', 'Noroi']
animeVoices	['Kaji, Yuki', 'Fujiwara, Keiji', 'Ootsuka, Akio', 'Ikeda, Shuuichi', 'Yajima, Akiko', 'Takato, Yasuhiro', 'Kanda, Sayaka', 'Nozawa, Masako', 'Takagi, Wataru', 'Nomura, Mansai']
animeStaff	[['Kawamura, Tomohiro', 'Director'], ['Komori, Keisuke', 'Director'], ['Ogawa, Yoichi', 'Director, Planning'], ['Kosawa, Ryouta', 'Script']]
