animeTitle	b'Odoru Mowai-kun'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'The anime centers on a Moai statue named Mowai-kun who is gloomy every day because it lives a dull life where it just watches the beach and the sun from atop a hill on an island. But one day Mowai-kun grows arms, and starts to dance. The anime will air within the Oha-Suta program\'s ""Kyara-Suta"" corner.\n\n(Source: ANN)'"
animeRelated	[]
animeCharacters	[b'Mowai-kun', b'Molly']
animeVoices	[b'\nMori, Katsuji\nJapanese\n', b'\nPicciolina\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYusa, Kazushige\n\nDirector, Storyboard, Series Composition\n\n', b'\nKoguma\n\nSound Director, Music\n\n', b'\nPaisley Parks\n\nTheme Song Lyrics, Theme Song Performance, Theme Song Composition, Theme Song Arrangement\n\n']
