animeTitle	Hanaukyou Maid-tai: La Verite
animeType	TV
animeNumEpisode	12
releaseDate	2004-04-04 00:00:00
endDate	2004-06-20 00:00:00
animeNumMembers	
animeScore	6.78
animeUsers	9742
animeRank	
animePopularity	3895
animeDescription	"After his mother passes away, Taro Hanaukyo is invited to his grandfather's home. There, he meets a beautiful maid named Mariel and finds out that his grandfather has retired to a remote island and has given him ownership of his estate. Taro also discovers that not only is the estate a colossal mansion, it has hundreds of gorgeous maids ready to serve him 24 hours a day, seven days a week. 

(Source: ANN)"
animeRelated	['Hanaukyou Maid-tai']
animeCharacters	['Mariel', 'Hanaukyou, Tarou', 'Suzuki, Ikuyo', 'Ichigo, Sango and Ringo', 'Tsurugi, Konoe', 'Yashima, Sanae', 'Landlavizar, Cynthia', 'Jihiyou, Ryuuka', 'Grace']
animeVoices	['Tanaka, Rie', 'Kaida, Yuki', 'Kadowaki, Mai', 'Hiramatsu, Akiko', 'Watanabe, Akeno', 'Kaneda, Tomoko', 'Takahashi, Rieko']
animeStaff	[['Nonaka, Takuya', 'Director, Episode Director, Storyboard, Key Animation'], ['Kikuta, Hiromi', 'Sound Director'], ['Yoneda, Mitsuhiro', 'Episode Director'], ['Aoshima, Takashi', 'Script']]
