animeTitle	Sound & Fury
animeType	Music
animeNumEpisode	1
releaseDate	2019-09-27 00:00:00
endDate	
animeNumMembers	
animeScore	6.15
animeUsers	1207
animeRank	
animePopularity	9341
animeDescription	"In this anime visual album, a mysterious driver heads deep into a post-apocalyptic hellscape toward a ferocious showdown with two monstrous opponents. Various studios participated in creating 10 'episodes' for the visual album. Ranging from 3D animation, to 2D animation, to live-action.

(Source: Netflix)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
