animeTitle	Magical☆Star Kanon 100%
animeType	OVA
animeNumEpisode	1
releaseDate	2013-06-18 00:00:00
endDate	
animeNumMembers	28863
animeScore	6.78
animeUsers	16359
animeRank	4706
animePopularity	3347
animeDescription	"Kanon spin-off OVA bundled with vol. 22 of the Kami nomi zo Shiru Sekai manga.

(Source: Weekly Shonen Sunday)"
animeRelated	['Magical☆Star Kanon 100%', 'Kami nomi zo Shiru Sekai']
animeCharacters	['de Lute Ima, Elucia', 'Nakagawa, Kanon', 'Kozue', 'Katsuragi, Keima', 'Okada']
animeVoices	['Itou, Kanae', 'Touyama, Nao', 'Suzaki, Aya', 'Shimono, Hiro', 'Itou, Miki']
animeStaff	[['Kase, Mitsuko', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Touyama, Nao', 'Theme Song Performance, Inserted Song Performance'], ['Watanabe, Akio', 'Character Design']]
