animeTitle	Chiisai Sensuikan ni Koi wo Shita Dekasugiru Kujira no Hanashi
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14436
animeDescription	"The third film in Shin-Ei's series of annual WWII themed anime television movies for children ""Sensou Douwa"" (war story). "
animeRelated	['Kiku-chan to Ookami', 'Futatsu no Kurumi', 'Aoi Hitomi no Onnanoko no Ohanashi', 'Yakeato no, Okashi no Ki', 'Boku no Boukuugou', 'Umigame to Shounen', 'Tako ni Natta Okaasan', 'Sensuikan ni Koi wo Shita Kujira no Hanashi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
