animeTitle	Sore Ike! Anpanman: Happy no Daibouken
animeType	Movie
animeNumEpisode	1
releaseDate	2005-07-16 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15041
animeDescription	17th Anpanman movie.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Currypanman', 'Horrorman', 'Dokin-chan', 'Happy', 'Shokupanman', 'Melonpanna', 'Oji-san, Jam']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Yanagisawa, Michiyo', 'Kimotsuki, Kaneta', 'Tsuru, Hiromi', 'Tomosaka, Rie', 'Shimamoto, Sumi', 'Kanai, Mika', 'Masuoka, Hiroshi']
animeStaff	[['Yano, Hiroyuki', 'Director'], ['Ootani, Kazuo', 'Theme Song Arrangement'], ['Dreaming', 'Theme Song Performance'], ['Yonemura, Shouji', 'Screenplay']]
