animeTitle	Annyeong, Tyrano: Yeong-wonhi, Hamkke
animeType	Movie
animeNumEpisode	1
releaseDate	2019-08-14 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13864
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Omae Umasou da na', 'Miyanishi Tatsuya Gekijou: Omae Umasou da na', 'Anata wo Zutto Aishiteru']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
