animeTitle	12-sai.
animeType	OVA
animeNumEpisode	8
releaseDate	2014-04-03 00:00:00
endDate	2015-01-03 00:00:00
animeNumMembers	12552
animeScore	6.26
animeUsers	4066
animeRank	7365
animePopularity	4846
animeDescription	"The story begins with Hanabi, a sixth-grade girl who is neither an adult nor a child. She deals with issues such as accidentally witnessing her homeroom teacher kissing, and worrying about experiencing physiological changes before her friends. The manga depicts a 12-year-old girl's innocent worries and first love.

(Source: ANN) "
animeRelated	['12-sai.', '12-sai. 2nd Season', '12-sai.: Chicchana Mune no Tokimeki']
animeCharacters	['Hiyama, Kazuma', 'Ayase, Hanabi', 'Takao, Yuuto', 'Aoi, Yui', 'Tsutsumi, Ayumu', 'Ogura, Marin', 'Hamana, Kokoa', 'Mikami, Inaba', 'Eikou']
animeVoices	['Iguchi, Yuuichi', 'Kakuma, Ai', 'Saitou, Souma', 'Haruno, Nanami', 'Kakihara, Tetsuya', 'Makiguchi, Mayuki', 'Hara, Sayuri', 'Tamaru, Atsushi', 'Watanabe, Takumi']
animeStaff	[['Okuwaki, Masaharu', 'Director'], ['Maita, Nao', 'Original Creator'], ['Oono, Kayoko', 'Color Design'], ['Tsubouchi, Hiroki', 'Director of Photography']]
