animeTitle	Gunslinger Stratos The Animation: Kikan/Kaze no Yukue
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.01
animeUsers	775
animeRank	
animePopularity	8498
animeDescription	"Web version of episode 12, aired on Niconico and Daisuki. Features alternative ending.

Because the Frontier S Tooru cannot believe the eradication of the Timekeepers leads to true salvation for both futures, he challenges the 17th Tooru for one last battle. The ultimate showdown begins, with the two futures at stake.

(Source: AniDB)"
animeRelated	['Gunslinger Stratos The Animation', 'Gunslinger Stratos The Animation: Bunki/Futatsu no Mirai']
animeCharacters	['Kazasumi, Tooru', 'Katagiri, Kyouka', 'Katagiri, Kyouma', 'Rindou, Shizune', 'Odhner, Remy', 'Janetine, Olga', 'Mysterious Girl', 'Sen, Srinivasa', 'Minakata, Kumi', 'Shinou, Matsurika']
animeVoices	['Abe, Atsushi', 'Kanemoto, Hisako', 'Nishida, Masakazu', 'Ueda, Kana', 'Sawashiro, Miyuki', 'Ohara, Sayaka', 'Fujita, Akane', 'Ookawa, Tooru', 'Mizuki, Nana', 'Ise, Mariya']
animeStaff	[]
