animeTitle	Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e
animeType	Movie
animeNumEpisode	1
releaseDate	2016-10-08 00:00:00
endDate	
animeNumMembers	
animeScore	7.67
animeUsers	9222
animeRank	
animePopularity	3549
animeDescription	"Second of three compilation films of the Kuroko no Basket franchise.

Seirin faces off with Yosen in the quarter finals of the Winter Cup. Facing Yosen’s impenetrable defense with Murasakibara at its center, Kuroko manages to shoot his first point. Meanwhile, the ace battle between Kagami and Himuro also heats up. An intense battle is held until the very end. Next, Seirin faces off with Kaijo in the semi finals. Cautious of Kaijo's ace, Kise, and his Perfect Copy ability, Seirin works fast and hard to take the lead. Kise hurts his leg and is benched, so Seirin thinks they now have their chance, but then Kaijo shows them exactly what they can do even without Kise.

(Source: Crunchyroll)"
animeRelated	['Kuroko no Basket 2nd Season', 'Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari', 'Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou']
animeCharacters	['Kuroko, Tetsuya', 'Kise, Ryouta', 'Kagami, Taiga', 'Murasakibara, Atsushi', 'Aomine, Daiki', 'Akashi, Seijuurou', 'Midorima, Shintarou', 'Kiyoshi, Teppei', 'Momoi, Satsuki', 'Hyuuga, Junpei']
animeVoices	[]
animeStaff	[['Morihiro, Fumi', 'Producer'], ['Kuroki, Rui', 'Producer'], ['Tada, Shunsuke', 'Director'], ['Mima, Masafumi', 'Sound Director']]
