animeTitle	b'Cleopatra D.C.'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.88
animeUsers	870
animeRank	
animePopularity	
animeDescription	"b""The Cleopatra Corns Group, aka Cleopatra DC, is a powerful financial conglomerate controlling most of the United States economy, almost as powerful as the US government itself. At the top of the organization is the beautiful, smart and brave Ms. Cleo, the Group's young, talented Chairman. This is good--it means she can handle the repair bill when that airplane crashes into her bedroom. With stolen artifacts, corporate kidnappings, and top-secret cyborg projects gone awry, her luck only gets worse from there. \n\n(Source: ANN)"""
animeRelated	[b'Cleopatra D.C.']
animeCharacters	[b'Corns, Cleopatra', b'Suen', b'Marianne', b'Dr. Randol', b'Natsuki', b'Karts', b'Oriega', b'Badam, Tina', b'Shorty', b'Shintakuma']
animeVoices	[b'\nKawamura, Maria\nJapanese\n', b'\nTsuru, Hiromi\nJapanese\n', b'\nTakamori, Yoshino\nJapanese\n', b'\nMaruyama, Eiji\nJapanese\n', b'\nNanba, Keiichi\nJapanese\n', b'\nYara, Yuusaku\nJapanese\n', b'\nIizuka, Shouzou\nJapanese\n', b'\nHara, Eriko\nJapanese\n', b'\nTanaka, Hideyuki\nJapanese\n', b'\nSuzuoki, Hirotaka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKatou, Kazuo\n\nProducer\n\n', b'\nYoshinaga, Naoyuki\n\nDirector\n\n', b'\nTomita, Sukehiro\n\nScript, Screenplay\n\n', b'\nYuuki, Nobuteru\n\nCharacter Design\n\n']
