animeTitle	Eien no Aselia
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.43
animeUsers	1429
animeRank	
animePopularity	7455
animeDescription	"Yuto Takamine and his younger sister-in-law Kaori, were at their parents' grave, when they were suddenly summoned into another world, Phantasmagoria. The King and a woman named Restina took Kaori as a hostage, and ordered Yuto to fight against their enemies. Then, the King gave him a sword called Motomeh to protect their kingdom from enemy spirits. Kaori will only be freed if Yuto helps protect Phantasmagoria. Thus, Yuto's journey begins... 

(Source: ANN)"
animeRelated	['Eien no Aselia: The Spirit of Eternity Sword']
animeCharacters	['Bluespirit, Aselia', 'Takamine, Yuuto', 'Redspirit, Oruphaliru', 'Dai Rakios, Lestiina', 'Greenspirit, Espelia', 'Takamine, Kaori']
animeVoices	['Asano, Ruri', 'Sakurai, Takahiro', 'Oono, Marina', 'Yamamoto, Maria', 'Fujisaki, Kaori']
animeStaff	[['Hashimoto, Naoto', 'Director'], ['Tanaka, Hideyuki', 'Sound Director'], ['Okumura, Yoshiaki', 'Episode Director'], ['Xuse', 'Original Creator']]
