animeTitle	Alice Gear Aegis: Doki! Actress Darake no Mermaid Grand Prix♥
animeType	OVA
animeNumEpisode	1
releaseDate	2021-09-15 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12192
animeDescription	Anime adaptation of the 3D smartphone shooting game Alice Gear Aegis by the developer COLOPL.
animeRelated	[]
animeCharacters	['Kaneshiya, Shitara', 'Kanagata, Sugumi', 'Shimoochiai, Touka', 'Momoshina, Fumika', 'Hrasaka, Yotsuyu', 'Yotsuya, Yumi']
animeVoices	['Uchida, Maaya', 'Tanezaki, Atsumi', 'Taniguchi, Yuna', 'Ishikawa, Yui', 'Numakura, Manami', 'Matsui, Eriko']
animeStaff	[['Hanai, Hirokazu', 'Director'], ['Ookubo, Masahiro', 'Script'], ['Uchida, Maaya', 'Theme Song Performance'], ['Ishikawa, Yui', 'Theme Song Performance']]
