animeTitle	Mayo Elle Otoko no Ko
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.01
animeUsers	199
animeRank	
animePopularity	10373
animeDescription	"Located far from town, standing on a headland, is Ginga Private Academy. The school buildings are refined and graceful, and waterways wend through the grounds. It is a large facility with 600 students in primary, middle, and high school sections, all studying the performing arts.
One spring, a certain boy transfers in..."
animeRelated	['Mayo Elle Otoko no Ko']
animeCharacters	['Kanade, Itsuki', 'Suzushiro, Natsume', 'Mikoto, Shion', 'Shirogane, Tamazusa', 'Naruko, Tsukushi', 'Matsukaze, Umezaemon', 'Sasara, Mikuri']
animeVoices	['Hanazawa, Kana', 'Ise, Mariya', 'Makiguchi, Mayuki', 'Fujita, Saki', 'Iguchi, Yuka', 'Sakakibara, Yui', 'Fujimura, Ayumi']
animeStaff	[['Kawaguchi, Keiichirou', 'Director'], ['Tenkawa, Nobuhiko', 'Script, Series Composition'], ['POP', 'Original Character Design'], ['Sadakata, Kikuko', 'Character Design']]
