animeTitle	Green Green Specials
animeType	OVA
animeNumEpisode	3
releaseDate	2003-11-19 00:00:00
endDate	2004-01-21 00:00:00
animeNumMembers	
animeScore	6.21
animeUsers	4792
animeRank	
animePopularity	5266
animeDescription	"These are DVD specials, which include some extra footage and music videos;
Character DVD #1 - Midori & Reika
Character DVD #1 - Midori Music Video 	
Character DVD #1 - Reika Music Video 	
Character DVD #2 - Futaba & Chigusa
Character DVD #2 - Futaba Music Video 	 
Character DVD #2 - Chigusa Music Video 	
Character DVD #3 - Sanae & Wakaba
Character DVD #3 - Sanae Music Video
Character DVD #3 - Wakaba Music Video"
animeRelated	['Green Green']
animeCharacters	['Takasaki, Yusuke', 'Ijuuin, Tadatomo', 'Tenjin, Taizo', 'Kutsuki, Wakaba', 'Ichiban-Boshi, Hikaru', 'Minami, Sanae', 'Morimura, Reika', 'Iino, Chigusa']
animeVoices	['Tanaka, Kazunari', 'Hamada, Kenji', 'Mannaka, Yukiko', 'Domon, Jin', 'Ueda, Kana', 'Suzuki, Mariko']
animeStaff	[['Mutou, Yuuji', 'Director']]
