animeTitle	Shin Cutey Honey
animeType	OVA
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	6.63
animeUsers	2849
animeRank	
animePopularity	5708
animeDescription	"Cosplay City is in danger when the evil Dolmeck shows up. Commanding his army of monsters, he plans on destroying everything. Only one person can stop this: Cutey Honey. After she is released from her dormancy, Honey Kisaragi becomes the multi-transformational android Cutey Honey. However, the least is expected when Honey is faced with an old enemy from the past: Panther Zora. 

(Source: AniDB)"
animeRelated	['Cutey Honey', 'Cutie Honey Universe']
animeCharacters	['Kisaragi, Honey', 'Hayami, Danbei', 'Hayami, Chokkei', 'Fudou, Akira', 'Aki, Natsuko', 'Kabuto, Juzo', 'Natsuko', 'Hayami, Daiko', 'Panther Zora']
animeVoices	['Neya, Michiko', 'Tomita, Kousei', 'Matsumoto, Rica', 'Seki, Tomokazu', 'Aono, Takeshi', 'Iwao, Junko', 'Fukami, Rica']
animeStaff	[['Greenfield, Matt', 'Producer, Script, ADR Director'], ['Nagaoka, Yasuchika', 'Director'], ['Konishi, Takao', 'Theme Song Arrangement'], ['Nagai, Go', 'Original Creator']]
