animeTitle	Marude Dameo
animeType	TV
animeNumEpisode	47
releaseDate	1991-11-02 00:00:00
endDate	1992-09-26 00:00:00
animeNumMembers	313
animeScore	
animeUsers	
animeRank	17214
animePopularity	14442
animeDescription	"The series stars an elementary school boy named Dameo Marude, who has little success with anything he tries, and a robot named Borot, which is good with housekeeping.

(Source: Wiki)"
animeRelated	[]
animeCharacters	['Dameo', 'Borotto', 'Hennya']
animeVoices	['Teppouzuka, Yoko', 'Tanaka, Mayumi', 'Ogata, Kenichi']
animeStaff	[['Shigino, Akira', 'Director'], ['Shinbou, Akiyuki', 'Episode Director'], ['Ueda, Shigeru', 'Episode Director'], ['Urasawa, Yoshio', 'Script, Series Composition']]
