animeTitle	The Humanoid: Ai no Wakusei Lezeria
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.79
animeUsers	894
animeRank	
animePopularity	9310
animeDescription	Dr. Watson has created his masterpiece – a beautiful woman made of metal. A wonder of science, Antoinette is a childlike innocent who holds the key to an ancient civilization that could save the world, or destroy it. And when a mad tyrant kidnaps the man she loves, Antoinette finally discovers the courage – and the amazing fighting skills – that are her true calling. 
animeRelated	[]
animeCharacters	['Antoinette', 'Sherry', 'Eric', 'Arlon', 'Princess Ignasia', 'Dr. Watson', 'Governor Praod', 'Livello']
animeVoices	['Sakakibara, Yoshiko', 'Shibata, Yumiko', 'Yao, Kazuki', 'Kobayashi, Kiyoshi', 'Akiyama, Runa', 'Shibata, Hidekatsu', 'Sogabe, Kazuyuki', 'Maruyama, Eiji']
animeStaff	[['Masaki, Shinichi', 'Director'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Kageyama, Shigenori', 'Co-Producer'], ['Katsumata, Geki', 'Art Director']]
