animeTitle	Sore Ike! Anpanman: Kieta Jam Ojisan
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15157
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Oji-san, Jam']
animeVoices	['Toda, Keiko', 'Masuoka, Hiroshi']
animeStaff	[['Nagaoka, Akinori', 'Director, Episode Director, Storyboard'], ['Maeda, Minoru', 'Chief Animation Director'], ['Yanase, Takashi', 'Original Creator'], ['Yamada, Michishiro', 'Character Design']]
