animeTitle	Reiwa no Di Gi Charat
animeType	Unknown
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	693
animeScore	
animeUsers	
animeRank	
animePopularity	12125
animeDescription	New mini anime series for Di Gi Charat, part of the celebration for the franchise's 24th anniversary next year.
animeRelated	['Di Gi Charat']
animeCharacters	['Di Gi Charat', 'Petit Charat', 'Usada, Hikaru', 'Gema', 'Analogue III, Pyocola', 'Schweitzer, Ky', 'Erhard, Coo', 'Heisenberg, Rik', 'Bushirodo no Mikoto', 'Broccodes']
animeVoices	['Sanada, Asami', 'Sawashiro, Miyuki', 'Hikami, Kyouko', 'Kamei, Yoshiko', 'Hayashibara, Megumi', 'Suzuki, Chihiro', 'Saeki, Tomo', 'Toriumi, Kousuke', 'Akesaka, Satomi']
animeStaff	[['Sakurai, Hiroaki', 'Director'], ['Koge-Donbo*', 'Original Creator'], ['Watanabe, Atsuko', 'Character Design']]
