animeTitle	b'Holo no Graffiti'
animeType	b'ONA'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	8.46
animeUsers	13750
animeRank	
animePopularity	
animeDescription	"b'From unraveling the secrets of opening and closing doors to defusing surprise packages more commonly known as bombs, there is never a dull day at the Hololive Production office! Holo no Graffiti follows an eccentric cast of Virtual YouTubers, also known as ""VTubers,"" going about their absurd yet hilarious daily lives, detailing all their cute moments and mishaps.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Miko no Tsutome!', b'Hololive Alternative', b'Curry Meshi in Miracle', b'Umisea', b'Unison', b'Ghost (Music)']
animeCharacters	[b'Inugami, Korone', b'Usada, Pekora', b'Houshou, Marine', b'Nakiri, Ayame', b'Nekomata, Okayu', b'Hoshimachi, Suisei', b'Uruha, Rushia', b'Shirakami, Fubuki', b'Minato, Aqua', b'Sakura, Miko']
animeVoices	[]
animeStaff	[]
