animeTitle	b'Ichi Nichi Shite Narazu'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The story follows an office worker Mitsuki who is more devoted to her work than her own personal grooming. She decides to improve her appearance when she discovers that her boss Watanabe is leaving.\n\n(Source: ANN)'
animeRelated	[]
animeCharacters	[b'Watanabe', b'Chiba, Ryouta', b'Hattori, Mitsuki', b'Bartender']
animeVoices	[b'\nInoue, Satoru\nJapanese\n', b'\nUmehara, Yuuichirou\nJapanese\n', b'\nKubota, Hikari\nJapanese\n', b'\nKagami, Riki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nCeui\n\nTheme Song Performance, Theme Song Lyrics, Theme Song Composition\n\n']
