animeTitle	Healer Girl
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	10497
animeDescription	"The story will follow four girls who seek to use their songs to heal and soothe the people of their world. The tagline reads, ""Kindhearted, powerful songs heal the world. These are beautiful miracles sung by humanity.""

(Source: MAL Source)"
animeRelated	[]
animeCharacters	['Itsushiro, Reimi', 'Yanagi, Sonia', 'Morishima, Hibiki', 'Fujii, Kana']
animeVoices	['Horiuchi, Marina', 'Yoshitake, Chihaya', 'Kumada, Akane', 'Isobe, Karin']
animeStaff	[['Irie, Yasuhiro', 'Director'], ['Kimura, Noboru', 'Script, Series Composition'], ['Akiya, Yukie', 'Character Design']]
