animeTitle	Injuu vs. Onna Spy
animeType	OVA
animeNumEpisode	1
releaseDate	1997-03-28 00:00:00
endDate	
animeNumMembers	
animeScore	5.4
animeUsers	463
animeRank	
animePopularity	10344
animeDescription	When the government develops a bio-engineered cyborg, named Dragon, as a secret weapon, a failure in gene manipulation turns the creature into a sex-crazed monster! The government assigns three very sexy agents to find the creature, and execute everyone involved. Will they be able to solve the case before even more women are abducted to fill the creature's sexual appetite? Or will they become Dragon's next conquests?
animeRelated	[]
animeCharacters	['Hammer, Vanessa']
animeVoices	['Katsuki, Masako']
animeStaff	[['Oomiya, Saburou', 'Producer'], ['Tominaga, Tsuneo', 'Director'], ['Takahashi, Hideo', 'Sound Director'], ['Araki, Hideki', 'Character Design, Animation Director']]
