animeTitle	b'Sumiko (TV)'
animeType	b'TV'
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Short stories based on the original characters by Uruma Delvi.'
animeRelated	[b'Sumiko']
animeCharacters	[b'Yoshida, Sumiko', b'Yoshida, Sakura', b'Yoshiko', b'Kurumi', b'Yukari', b'Yoshida, Kumagoro ']
animeVoices	[b'\nKikuchi, Kokoro\nJapanese\n', b'\nTakeda, Hana\nJapanese\n', b'\nFukui, Miki\nJapanese\n', b'\nSatou, Miyuki\nJapanese\n', b'\nYoshimura, Reina\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAbe, Nobuyuki\n\nSound Director\n\n', b'\nYamaguchi, Suguru\n\nTheme Song Composition\n\n', b'\nUrumaDelvi\n\nCharacter Design\n\n']
