animeTitle	Soredemo Tsuma wo Aishiteru
animeType	OVA
animeNumEpisode	3
releaseDate	2011-10-21 00:00:00
endDate	2013-09-20 00:00:00
animeNumMembers	8535
animeScore	6.46
animeUsers	3237
animeRank	
animePopularity	5657
animeDescription	"Nanami is a happily married woman until one day the landlord blackmails her with some embarrassing video footage. From then on she has to become his personal sex slave or he will show the footage to her husband.

Based on the erotic game ""Sore de mo Tsuma o Aishiteru"" by Lune TeamBitters.

(Source: ANN)"
animeRelated	['Soredemo Tsuma wo Aishiteru 2']
animeCharacters	['Honda, Nanami', 'Kamata, Genji', 'Ochiari, Misaki', 'Shirakawa, Chihiro']
animeVoices	['Asai, Harumi', 'Mizusawa, Kei', 'Ichimura, Oma']
animeStaff	[['Raika, Ken', 'Director'], ['Doshida, Tomoaki', 'Storyboard']]
