animeTitle	Hatara Kids Mai Ham Gumi
animeType	TV
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13209
animeDescription	"Hatara Kids Maihamu Gumi, literally ""Working Kids, My Hamster Team"", is a Japanese anime action series for young children about hamsters who hold down jobs from firefighting to cooking.

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	['Sylvie', 'Gaudi', 'Steve', 'Yoshikawa, Kaito', 'Motojime']
animeVoices	['Chiba, Chiemi', 'Nozawa, Masako', 'Nagata, Akira', 'Suzuki, Masami', 'Kikuchi, Masami']
animeStaff	[['Bogdan, Gyarmath', 'Producer'], ['Ikeda, Youko', 'Episode Director'], ['Nozawa, Masako', 'Theme Song Performance'], ['Komatsu, Yuka', 'Theme Song Performance']]
