animeTitle	Osomatsu-kun (1988)
animeType	TV
animeNumEpisode	86
releaseDate	1988-02-13 00:00:00
endDate	1989-12-30 00:00:00
animeNumMembers	5283
animeScore	6.73
animeUsers	908
animeRank	4937
animePopularity	6852
animeDescription	"Meet the Osomatsu boys—sextuplets who look, speak, dress and talk like the same. They only add to the hyper eccentric residents of the town who easily break any boundaries defined by common sense. Check your logical thinking and reason at the door and immerse yourself in everyday lives of unique characters who are wild both in appearance and temperament!

(Source: Studio Pierrot)"
animeRelated	['Osomatsu-kun', 'Rerere no Tensai Bakabon', 'Heisei Tensai Bakabon', 'Bakabon Osomatsu no Karee wo Tazunete Sansenri', 'Osomatsu-kun: Suika no Hoshi kara Konnichiwa zansu!', 'Osomatsu-kun (1988): Appare! Chibita no Onitaiji zansu', 'Osomatsu-kun: Iyami wa Hitori Kaze no Naka', 'Osomatsu-san']
animeCharacters	['Matsuno, Ichimatsu', 'Matsuno, Karamatsu', 'Matsuno, Juushimatsu', 'Matsuno, Osomatsu', 'Matsuno, Choromatsu', 'Matsuno, Todomatsu', 'Iyami', 'Chibita', 'Yowai, Totoko', 'Dayon']
animeVoices	['Yokoo, Mari', 'Mashiba, Mari', 'Matsui, Naoko', 'Inoue, You', 'Matsumoto, Rica', 'Hayashibara, Megumi', 'Kimotsuki, Kaneta', 'Tanaka, Mayumi', 'Kamiyama, Takuzou']
animeStaff	[['Kimura, Kyotaro', 'Producer'], ['Shigino, Akira', 'Director, Episode Director, Storyboard'], ['Mizumoto, Kan', 'Sound Director'], ['Watanabe, Takashi', 'Episode Director, Storyboard']]
