animeTitle	Don't Cry
animeType	Music
animeNumEpisode	1
releaseDate	2017-06-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15280
animeDescription	"Official music video for Nakatsuka Shion's song Don't Cry. It was from her first mini-album ""Koukai"" and was used in the OP for T-sensei. The music video features the full song as well as clips from the anime including original footage that was not present before."
animeRelated	['T-sensei']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
