animeTitle	Cinnamon no Parade
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.82
animeUsers	155
animeRank	
animePopularity	12980
animeDescription	"In the eight-minute video to celebrate Cinnamoroll's tenth anniversary, the white puppy takes a nap and falls into an abandoned amusement park where he meets the rabbit Chocolat. 

(Source: ANN)"
animeRelated	['Cinnamon the Movie']
animeCharacters	['Cinnamoroll']
animeVoices	[]
animeStaff	[]
