animeTitle	b'Akira'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	8.16
animeUsers	402496
animeRank	
animePopularity	
animeDescription	"b'Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo\xe2\x80\x94an area rife with gang violence and terrorism against the current government\xe2\x80\x94stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns.""\n\nDuring one of these battles, Shoutarou\'s best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Akira', b'Akira (Shin Anime)']
animeCharacters	[b'Kaneda, Shoutarou', b'Shima, Tetsuo', b'Kei', b'Shikishima', b'Akira', b'Kai', b'Yamagata', b'Kaori', b'Kiyoko', b'Miyako']
animeVoices	[b'\nIwata, Mitsuo\nJapanese\n', b'\nSasaki, Nozomu\nJapanese\n', b'\nKoyama, Mami\nJapanese\n', b'\nIshida, Tarou\nJapanese\n', b'\nKusao, Takeshi\nJapanese\n', b'\nOokura, Masaaki\nJapanese\n', b'\nFuchizaki, Yuriko\nJapanese\n', b'\nItou, Fukue\nJapanese\n', b'\nKitamura, Kouichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMaseba, Yutaka\n\nProducer\n\n', b'\nOtomo, Katsuhiro\n\nDirector, Original Creator\n\n', b'\nAketagawa, Susumu\n\nSound Director\n\n', b'\nKamiyama, Kenji\n\nBackground Art\n\n']
