animeTitle	Juuninin no Onna Kyoushi
animeType	OVA
animeNumEpisode	2
releaseDate	2008-04-11 00:00:00
endDate	2008-07-11 00:00:00
animeNumMembers	2087
animeScore	5.72
animeUsers	619
animeRank	
animePopularity	9320
animeDescription	"A horny headmaster and his naughty nephews are out to train twelve teachers to be sex slaves. They'll use any scheme in their arsenal to get the hot lady professors to share their carnal knowledge. But even if the women give their bodies over freely, that doesn't mean they'll just take it lying down. The extracurricular activities are nonstop in every nook and cranny of this institute of lustful learning. 

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
