animeTitle	b'Seikai no Senki Special'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.24
animeUsers	1090
animeRank	
animePopularity	
animeDescription	b'A compilation of the Seikai no Senki Tokubetsuhens series with additional footage.'
animeRelated	[b'Seikai no Senki']
animeCharacters	[b'Abriel, Lafiel', b'Linn, Jinto', b'Naurh, Ekuryua']
animeVoices	[b'\nKawasumi, Ayako\nJapanese\n', b'\nImai, Yuka\nJapanese\n', b'\nShimizu, Kaori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNagaoka, Yasuchika\n\nDirector\n\n', b'\nYonetani, Yoshitomo\n\nStoryboard\n\n', b'\nUeda, Masuo\n\nPlanning\n\n', b'\nMorioka, Hiroyuki\n\nOriginal Creator\n\n']
