animeTitle	Cyborg 009: Kaijuu Sensou
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.95
animeUsers	556
animeRank	
animePopularity	9807
animeDescription	"The evil organization 'Black Ghost' attacked around the world, using dinosaur (plesiosaur) type giant robots, and the team of 9 cyborgs launched their quest for the Black Ghost's hideout. 009 meets a girl named Helena...

(Source: upp.so-net.ne.jp)"
animeRelated	['Cyborg 009']
animeCharacters	['Shimamura, Joe', 'Heinrich, Albert', 'Link, Jet', 'Arnoul, Françoise', 'Great Britain', 'Whisky, Ivan', 'Changku, Chang', 'Pyunma', 'Geronimo Jr.', 'Skull']
animeVoices	[]
animeStaff	[['Ishinomori, Shoutarou', 'Original Creator'], ['Kosugi, Taichirou', 'Music']]
