animeTitle	Overlord Movie: Manner Movie
animeType	Movie
animeNumEpisode	1
releaseDate	2017-02-25 00:00:00
endDate	
animeNumMembers	17888
animeScore	6.92
animeUsers	4690
animeRank	4110
animePopularity	4214
animeDescription	A theater manners short bundled with the recap movie's BD/DVD releases. Each film had its own short with slight differences (eg. Fushisha no Ou had a smiling Shalltear but the Shikoku no Eiyuu one showed her sneering). Due to the minimal changes between the two, resulting in only a few seconds of alternative footage, MAL will reflect it as a single episode as the blunt majority was identical.
animeRelated	['Overlord Movie 1: Fushisha no Ou', 'Overlord Movie 2: Shikkoku no Eiyuu']
animeCharacters	['Albedo']
animeVoices	['Hara, Yumi']
animeStaff	[]
