animeTitle	b'Larva Island'
animeType	b'ONA'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	5.63
animeUsers	189
animeRank	
animePopularity	
animeDescription	b'The 4th season of Larva. Stranded on a tropical island, two silly larva buddies find slapstick fun in everything from discovering food to meeting new animal friends. It will be the first Korean Netflix original animation.\n\n(Source: Netflix)\n'
animeRelated	[b'Larva 3rd Season', b'Larva Island Season 2']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
