animeTitle	b'Fushigi Yuugi OVA'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.15
animeUsers	11153
animeRank	
animePopularity	
animeDescription	b'A year after the events of Fushigi Yuugi, Tamahome is pulled back into the book and is sent on a complicated ride through illusion, confusion, and betrayal. Meanwhile, Yui is acting oddly and Miaka is heartbroken over the loss of Tamahome, while Keisuke and Tetsuya try to discover what is going on with the book.\n\n(Source: ANN)'
animeRelated	[b'Fushigi Yuugi', b'Fushigi Yuugi: Dai Ni Bu']
animeCharacters	[b'Tamahome', b'Nuriko', b'Tasuki', b'Yuuki, Miaka', b'Hotohori', b'Chichiri', b'Hongo, Yui', b'Mitsukake', b'Chiriko', b'Tenkou']
animeVoices	[b'\nMidorikawa, Hikaru\nJapanese\n', b'\nSakamoto, Chika\nJapanese\n', b'\nCanna, Nobutoshi\nJapanese\n', b'\nAraki, Kae\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nTouma, Yumi\nJapanese\n', b'\nIshii, Kouji\nJapanese\n', b'\nKawakami, Tomoko\nJapanese\n', b'\nKosugi, Juurouta\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMaseba, Yutaka\n\nProducer\n\n', b'\nKamegaki, Hajime\n\nDirector\n\n', b'\nShimizu, Katsunori\n\nSound Director\n\n', b'\nYamanaka, Norimasa\n\nTheme Song Arrangement\n\n']
