animeTitle	Kandagawa Jet Girls OVA
animeType	OVA
animeNumEpisode	1
releaseDate	2020-01-24 00:00:00
endDate	
animeNumMembers	
animeScore	5.6
animeUsers	2361
animeRank	
animePopularity	6581
animeDescription	OVA which was released as a tie-in to the Kandagawa Jet Girls  video game for PlayStation 4.
animeRelated	['Kandagawa Jet Girls']
animeCharacters	['Namiki, Rin', 'Aoi, Misa', 'Orange, Emily', 'Shiraishi, Manatsu', 'Kuromaru, Manpuku', 'Tamaki, Fuuka', 'Misuda, Inori', 'Pan, Dina', 'Pan, Ziyu', 'Shishuuin, Kaguya']
animeVoices	[]
animeStaff	[]
