animeTitle	b'True Blue: Gaiden'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.65
animeUsers	1160
animeRank	
animePopularity	
animeDescription	"b""Kanzaki Aoi and Kurusu Akito have broken their childhood relationship and are no longer together. Kaya, a girl who has been interested in Akito, decides to be with him instead. But, her efforts fail to make him forget about Aoi, who chose their P.E. teacher, Shudo, out of lust and has become the Shudo's mistress. During her attempts to gain Akito's affection, Kaya is blackmailed into having sexual acts with a guy who has been watching her. As she is forced to let him have his way with her, Kaya begins having obscene thoughts about Shudo. Little does she know that the teacher has been planning this all along... """
animeRelated	[b'True Blue', b'Innocent Blue', b'Triangle Blue', b'Dark Blue', b'White Blue']
animeCharacters	[b'Kaya', b'Kanzaki, Aoi', b'Shouda, Yuuichirou', b'Kurusu, Akito']
animeVoices	[b'\nTaguchi, Hiroko\nJapanese\n', b'\nShizuki, Ami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawasaki, Kurou\n\nDirector\n\n', b'\nLee, Si-Min\n\nKey Animation\n\n', b'\nMori, Kokan\n\nPlanning\n\n', b'\nNishi, Shigenari\n\nEditing\n\n']
