animeTitle	Joseito
animeType	OVA
animeNumEpisode	1
releaseDate	2006-08-01 00:00:00
endDate	
animeNumMembers	1519
animeScore	5.54
animeUsers	428
animeRank	10242
animePopularity	10157
animeDescription	"A sunny summer's day, the trembling insides of a girl are painted by Dazai Osamu's hidden masterpiece, ""School Girl,"" a ""Kaku Nime"" production. Dazai's new literature taste is that of a person's challenge. The format of a girl talking to herself is presented by Motosaku, a Dazai Osamu fan as well; a girls of the modern day's heart also will resound as the finishing touches are applied to this work. 

(Source: AnimeNfo.com)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
